         1462369 function calls (1438706 primitive calls) in 1.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      782    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
       88    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1460(_path_hooks)
        1    0.000    0.000    0.008    0.008 font_manager.py:1625(_load_fontmanager)
        1    0.000    0.000    0.008    0.008 masked.py:1(<module>)
        1    0.001    0.001    0.008    0.008 helpers.py:1(<module>)
        1    0.000    0.000    0.008    0.008 colorizer.py:1(<module>)
     1572    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.008    0.008 axisgrid.py:1(<module>)
        1    0.001    0.001    0.008    0.008 shutil.py:1(<module>)
        1    0.000    0.000    0.008    0.008 constructor.py:1(<module>)
        2    0.000    0.000    0.008    0.004 pywintypes.py:8(__import_pywin32_system_module__)
        1    0.000    0.000    0.008    0.008 common.py:8(pyparsing_common)
        1    0.000    0.000    0.008    0.008 font_manager.py:1030(json_load)
        1    0.000    0.000    0.008    0.008 parse.py:1(<module>)
      287    0.001    0.000    0.008    0.000 _compiler.py:516(_compile_info)
        1    0.000    0.000    0.008    0.008 platform.py:768(_get_machine_win32)
        1    0.000    0.000    0.008    0.008 __init__.py:274(load)
       88    0.008    0.000    0.008    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.008    0.008 scale.py:1(<module>)
       57    0.003    0.000    0.008    0.000 __init__.py:355(namedtuple)
       76    0.004    0.000    0.007    0.000 {built-in method builtins.eval}
      549    0.007    0.000    0.007    0.000 {method 'findall' of 're.Pattern' objects}
        2    0.000    0.000    0.007    0.004 dtypes.py:1(<module>)
     1572    0.004    0.000    0.007    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.007    0.007 readers.py:1(<module>)
     1011    0.005    0.000    0.007    0.000 inspect.py:3029(__init__)
        1    0.000    0.000    0.007    0.007 __init__.py:245(_check_versions)
        1    0.000    0.000    0.007    0.007 _policybase.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _array_like.py:1(<module>)
        1    0.000    0.000    0.007    0.007 PngImagePlugin.py:1(<module>)
       21    0.000    0.000    0.007    0.000 rcsetup.py:814(validate_cycler)
        1    0.000    0.000    0.007    0.007 _machar.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _docstrings.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:299(loads)
     9373    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.007    0.007 decoder.py:333(decode)
        1    0.002    0.002    0.007    0.007 decoder.py:344(raw_decode)
       18    0.000    0.000    0.007    0.000 dataclasses.py:1247(dataclass)
      782    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:806(spec_from_file_location)
        1    0.000    0.000    0.007    0.007 eval.py:1(<module>)
     7885    0.003    0.000    0.007    0.000 enum.py:720(__call__)
        1    0.000    0.000    0.007    0.007 _statistics.py:1(<module>)
       48    0.000    0.000    0.007    0.000 __init__.py:1403(_add_data_doc)
        1    0.000    0.000    0.007    0.007 ExifTags.py:1(<module>)
      551    0.004    0.000    0.006    0.000 enum.py:254(__set_name__)
        1    0.000    0.000    0.006    0.006 reader.py:1(<module>)
        1    0.000    0.000    0.006    0.006 reader.py:45(Reader)
    28680    0.006    0.000    0.006    0.000 {method 'endswith' of 'str' objects}
     1408    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        2    0.000    0.000    0.006    0.003 testing.py:1(<module>)
        1    0.000    0.000    0.006    0.006 frame.py:509(DataFrame)
      917    0.004    0.000    0.006    0.000 functools.py:35(update_wrapper)
       67    0.000    0.000    0.006    0.000 dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.006    0.006 ticker.py:1(<module>)
        1    0.000    0.000    0.006    0.006 rrule.py:1(<module>)
        3    0.000    0.000    0.006    0.002 version.py:1(<module>)
      847    0.002    0.000    0.006    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.006    0.006 __init__.py:12(__getattr__)
       13    0.000    0.000    0.006    0.000 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.006    0.001 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
        2    0.000    0.000    0.006    0.003 interval.py:1(<module>)
    85/30    0.000    0.000    0.006    0.000 typing.py:1294(__getitem__)
       64    0.001    0.000    0.006    0.000 deprecation.py:414(make_keyword_only)
        1    0.000    0.000    0.005    0.005 platform.py:1(<module>)
        2    0.000    0.000    0.005    0.003 groupby.py:1(<module>)
